Organization,County,Org ID,Program Number,Program Name,Affliate,Last Updated,Mon-Hours,Tues-Hours,Wed-Hours,Thur-Hours,Fri-Hours,Sat-Hours,Sun-Hours,Street Address,Addressline 2,City,State,Zip,website,Program Description,Notes,Serves
Guilford County Schools,Guilford,GCSNC,0026,Grab & Go Meals - Peck Elementary,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,1601 West Florida Street,, Greensboro,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0027,Grab & Go Meals - Ragsdale High,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,1000 Lucy Ragsdale Drive,, Jamestown,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0028,Grab & Go Meals - Rankin Elementary,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,1501 Spry Street,, Greensboro,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0029,Grab & Go Meals - Southeast High,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,4530 Southeast School Road,, Greensboro,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0030,Grab & Go Meals - Southern High,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,5700 Drake Rd,, Greensboro,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0031,Grab & Go Meals - Swann Middle,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,811 Cypress Street,, Greensboro,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0032,Grab & Go Meals - Washington Elementary,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,1110 E. Washington Street,, Greensboro,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0033,Grab & Go Meals - Welborn Middle,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,1710 McGuinn Drive,, High Point,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0034,Grab & Go Meals - Western Middle,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,401 College Road,, Greensboro,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0035,Grab & Go Meals - Wiley Elementary,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,600 West Terrell Street,, Greensboro,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0036,Grab & Go Meals - Park Street Terrace Apartments,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,885 Sharon Street,, High Point,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0037,Grab & Go Meals - Brentwood Crossing,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,200 Brentwood Street,, High Point,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0038,Grab & Go Meals - New Gate Apartments,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,1605 Ganby Avenue,, High Point,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0039,Grab & Go Meals - Laurelwood Apartments,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,1300 Burton Road,,  High Point,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0040,Grab & Go Meals - Bellemeade Apartments,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,2350 Bellemeade Street,, High Point,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0041,Grab & Go Meals - The Oaks at Silver Ridge,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,2926 E. Kivett Drive,, High Point,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0042,Grab & Go Meals - Ingram Woods Apartments,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,2704 Ingram Road,, High Point,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0043,Grab & Go Meals - Kendall Street Apartments,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,211 Kendall Avenue,, High Point,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0044,Grab & Go Meals - Ambassador Court Apartments,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,2501 Ambassador Court,, High Point,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0045,Grab & Go Meals - South Wind Villas,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,820 E. South Road,, High Point,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0046,Grab & Go Meals - Greater New Hope Baptist Church,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,906 Meredith Street,, High Point,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0047,Grab & Go Meals - Spring Valley Apartments,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,1403 E. Commerce Street,, High Point,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0048,Grab & Go Meals - Claremont Homes,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,2702 Patio Place,, Greensboro,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0049,Grab & Go Meals - Smith Homes,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,707 W. Florida Street,, Greensboro,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0050,Grab & Go Meals - GHA-Ray Warren Homes,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,312 N. Swing Road,, Greensboro,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0051,Grab & Go Meals - Turnbridge Apartments,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,503 Turnbridge Circle,, Brown Summit,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0052,Grab & Go Meals - Northland Apartments,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,3319 O’Henry Blvd.,, Greensboro,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0053,Grab & Go Meals - Autumn Forest Trailer Park,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,3700 Autumn Forest Drive,, Brown Summit,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0054,Grab & Go Meals - Choice Hotel,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,110 Seneca Road,, Greensboro,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0055,Grab & Go Meals - Juanita Hills,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,2701 Annmore Circle,, High Point,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0056,Grab & Go Meals - Carson Stout Homes,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,501 Anaheim Street,, High Point,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0057,Grab & Go Meals - Daniel Brooks Homes,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,1455 West Avenue,, High Point,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0058,Grab & Go Meals - Laurelwood Apartments,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,1300 Burton Road,, High Point,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0059,Grab & Go Meals - Oak Ridge Commons,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,2205 Oak Ridge Road,, Oak Ridge,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0060,Grab & Go Meals - Summerfield Mobile Home Park,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,172 Turfwood Circle,, Stokesdale,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0061,Grab & Go Meals - Pathway,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,3517 N. Church Street,, Greensboro,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0062,Grab & Go Meals - Allerton Apartments,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,3201 Allerton Circle,, Greensboro,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0063,Grab & Go Meals - Plantation Apartments,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,1101 Berkley Manor Way,, Greensboro,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0064,Grab & Go Meals - Greenbriar,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,129 Greenbriar Road,, Greensboro,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0065,Grab & Go Meals - Hayleigh Village,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,4020 Eight Belles Lane,, Greensboro,NC,,https://www.gcsnc.com/,,,
